assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
0.09,0.73,60.5,2.0,54.3%,0.79,65.8%,0.79,0.58,3,27,Greece,19196,Cataclysm,0.84,79,0.13,0.03,58,46
0.14,0.74,63.3,1.3,45.3%,0.77,68.4%,0.76,0.56,9,23,United Kingdom,12256,velox,0.86,228,0.11,0.14,169,128
0.14,0.67,83.0,2.2,52.9%,1.20,72.6%,1.1,0.73,17,22,Malaysia,19385,Fish,1.16,446,0.08,0.10,297,327
0.13,0.69,77.0,4.4,37.1%,1.09,61.2%,1.04,0.72,130,30,Denmark,515,COLON,1.04,3318,0.09,0.10,2292,2384
0.04,0.79,58.1,11.5,41.2%,0.45,64.3%,0.77,0.61,1,18,United States,20572,kmrn,0.72,28,0.11,0.04,22,17
0.11,0.84,-,-,55.9%,-,-,0.48,0.4,4,28,South Africa,10535,reGi,0.51,85,-,-,71,34
0.06,0.94,49.1,0.0,75.0%,0.00,41.2%,0.25,0.24,1,-,United States,16673,Ancient,0.32,17,0.06,0.00,16,4
0.2,0.75,69.9,6.1,55.6%,0.86,64.7%,0.71,0.53,2,18,Japan,20188,hatty,0.88,51,0.06,0.20,38,27
0.14,0.79,73.1,2.7,31.4%,0.97,69.2%,0.82,0.65,3,-,Hong Kong,11688,ppX,0.97,78,0.08,0.13,62,51
0.05,0.87,54.3,0.2,70.6%,0.65,47.4%,0.52,0.45,2,22,New Zealand,12870,zxoR,0.6,38,0.05,0.13,33,17
0.1,0.66,75.9,2.5,32.8%,1.13,68.9%,1.11,0.73,114,16,Sweden,20363,joel,1.1,3022,0.09,0.08,2002,2216
0.17,0.68,108.9,4.7,49.0%,1.31,81.4%,1.48,1.0,4,18,Bangladesh,14853,Sami,1.44,102,0.19,0.11,69,102
0.12,0.88,68.1,0.5,30.0%,0.93,51.3%,0.58,0.51,4,-,Denmark,1978,eliza,0.72,78,0.06,0.12,69,40
0.16,0.81,55.5,5.1,43.5%,0.72,56.7%,0.58,0.47,4,28,United States,14817,voltage,0.69,97,0.06,0.14,79,46
0.12,0.75,69.4,2.8,35.8%,1.03,62.6%,0.84,0.62,32,28,Australia,12064,FaSHo,0.92,787,0.07,0.10,588,491
0.14,0.84,75.6,6.8,30.8%,0.95,64.3%,0.83,0.7,2,-,Poland,16760,Liina,0.88,56,0.21,0.09,47,39
0.06,0.63,80.8,3.1,27.4%,1.07,72.3%,1.24,0.78,4,-,United Arab Emirates,17258,W1pe,1.14,94,0.06,0.06,59,73
0.11,0.72,70.0,1.3,53.9%,0.94,68.5%,0.91,0.66,9,-,Germany,2151,xavi,0.94,231,0.08,0.11,167,152
0.11,0.78,63.3,3.8,45.2%,0.80,56.1%,0.65,0.5,5,20,Russia,15472,t3nZ,0.75,123,0.03,0.12,96,62
0.11,0.92,57.9,5.0,60.0%,0.49,50.0%,0.43,0.39,2,-,United States,14629,baer,0.55,38,0.11,0.13,35,15
0.05,0.73,59.2,1.4,63.3%,0.61,63.6%,0.75,0.55,2,-,Brazil,18609,ghtzao,0.77,55,0.07,0.11,40,30
0.13,0.76,57.3,3.6,51.4%,0.47,61.7%,0.56,0.42,10,28,Argentina,11339,dinamo,0.68,253,0.08,0.08,192,107
0.24,0.78,80.3,3.4,45.9%,1.23,65.2%,1.03,0.8,2,21,Poland,14680,calOth,1.03,46,0.13,0.02,36,37
0.15,0.74,75.8,3.0,43.0%,1.17,66.8%,0.84,0.63,22,26,Poland,9570,PeTeR,0.87,535,0.11,0.09,398,335
0.15,0.74,75.6,2.8,47.4%,1.02,65.9%,0.91,0.67,45,21,Poland,13265,JaKu,0.98,1165,0.10,0.10,857,777
0.11,0.59,54.4,0.0,11.8%,0.97,51.9%,1.06,0.63,1,21,Russia,12729,KSIDERINHO,0.87,27,0.11,0.07,16,17
0.05,0.9,57.4,0.2,62.5%,0.34,57.1%,0.42,0.38,1,-,Brazil,10833,zeziN,0.61,21,0.00,0.14,19,8
0.13,0.68,75.9,2.1,49.5%,1.03,69.0%,1.01,0.69,401,24,Lithuania,11307,pounh,1.04,10552,0.09,0.09,7198,7289
0.14,0.7,78.7,6.6,45.3%,1.04,68.6%,1.02,0.72,67,29,Mexico,10625,Blue,1.01,1688,0.09,0.10,1185,1208
0.14,0.66,-,-,41.2%,-,-,1.12,0.74,13,-,Russia,9977,cbA,1.07,307,-,-,204,228
0.11,0.76,-,-,56.4%,-,-,0.55,0.42,4,31,Iceland,4068,fearless,0.62,93,-,-,71,39
0.13,0.8,59.8,5.4,40.3%,0.64,56.5%,0.59,0.47,6,22,Guatemala,11618,stalker,0.71,131,0.04,0.12,105,62
0.04,0.78,40.9,7.6,50.0%,0.38,51.9%,0.48,0.37,1,20,United States,16881,EAGLE,0.53,27,0.26,0.04,21,10
0.14,0.67,70.7,2.5,49.0%,0.95,69.8%,1.02,0.68,270,24,Sweden,8096,pauf,0.99,6957,0.10,0.09,4629,4722
0.1,0.74,-,-,57.9%,-,-,0.61,0.45,2,-,Denmark,8857,Killing,0.66,42,-,-,31,19
0.14,0.65,-,-,26.7%,-,-,1.07,0.7,2,-,Korea,10132,Katniss,1.06,43,-,-,28,30
0.14,0.73,73.2,3.9,50.6%,0.97,67.0%,0.87,0.64,60,25,Denmark,5288,miNd,0.97,1625,0.07,0.10,1184,1035
0.14,0.72,81.7,3.5,41.7%,1.19,68.7%,1.03,0.74,128,22,Croatia,9018,NyX,1.05,3273,0.13,0.11,2365,2436
0.15,0.81,65.6,4.2,51.5%,0.86,62.4%,0.66,0.53,8,23,Russia,12005,enk,0.81,186,0.11,0.12,151,99
0.14,0.69,-,-,40.6%,-,-,1.11,0.76,7,-,Germany,7630,JeNnY,1.05,175,-,-,120,133
0.02,0.91,45.0,0.5,47.1%,0.86,43.2%,0.42,0.39,2,23,Australia,18767,treena,0.53,44,0.11,0.09,40,17
0.16,0.78,64.0,3.5,35.7%,0.48,65.3%,0.74,0.57,2,-,Australia,19514,PixeL,0.73,49,0.12,0.10,38,28
0.11,0.7,65.6,2.4,50.5%,0.87,67.8%,0.87,0.61,7,26,United States,17209,MistR,0.92,183,0.08,0.12,128,111
0.1,0.65,73.0,3.0,24.9%,1.13,69.4%,1.09,0.71,231,23,United States,15255,Swahn,1.09,6008,0.10,0.09,3909,4263
0.15,0.68,68.8,4.3,31.3%,0.92,66.0%,0.89,0.61,58,28,Finland,9322,Leaf,0.9,1522,0.08,0.08,1039,922
0.22,0.76,83.2,2.2,52.1%,0.90,75.0%,0.92,0.7,4,25,Serbia,13022,zamajan,1.03,104,0.09,0.10,79,73
0.11,0.81,71.9,4.2,58.2%,1.01,59.6%,0.82,0.66,21,20,Australia,16321,Endr,0.88,490,0.12,0.10,398,325
0.15,0.72,66.3,4.0,43.1%,0.84,64.4%,0.84,0.6,24,26,United States,9840,boomy,0.9,604,0.08,0.08,432,362
0.12,0.88,46.1,2.5,42.9%,0.56,53.8%,0.3,0.27,1,-,Denmark,20414,DGSLAYER,0.54,26,0.08,0.19,23,7
0.16,0.79,95.6,4.1,41.8%,1.25,70.4%,1.05,0.83,3,-,Brunei,17977,Bayau,1.19,81,0.15,0.10,64,67
0.13,0.68,68.0,2.2,51.5%,0.89,69.0%,0.97,0.65,2031,34,Poland,161,TaZ,0.96,53232,0.09,0.10,35944,34859
0.12,0.65,69.3,3.6,44.5%,0.91,71.2%,0.99,0.64,91,26,Finland,11244,wils0n,1.01,2365,0.12,0.11,1536,1518
0.13,0.67,76.4,2.7,27.6%,1.18,69.4%,1.07,0.72,37,-,Hong Kong,10743,Hazel,1.1,959,0.10,0.10,646,693
0.16,0.82,56.7,1.9,32.1%,0.68,58.2%,0.62,0.51,2,-,United States,20220,alrightdude69,0.7,55,0.11,0.20,45,28
0.13,0.68,74.1,3.8,43.0%,0.98,70.6%,0.99,0.67,147,19,Czech Republic,13568,AJTT,1.03,3968,0.11,0.11,2711,2675
0.13,0.73,69.5,3.6,42.5%,0.92,67.8%,0.84,0.62,47,25,Canada,13326,Bouchard,0.93,1066,0.10,0.12,778,657
